,pid,package,dayofstudy,loyalty,regularity,duration,duration_mean,duration_std,duration_min,duration_max,betweenlaunch_duration_mean,betweenlaunch_duration_std
452,1022,messages,10.0,1,1,0,0.0,0.0,0,0,-1.0,-1.0
453,1022,messages,14.0,1,1,0,0.0,0.0,0,0,-1.0,-1.0
454,1022,messages,19.0,1,1,0,0.0,0.0,0,0,-1.0,-1.0
455,1022,messages,20.0,1,1,0,0.0,0.0,0,0,-1.0,-1.0
456,1022,slumbertime,8.0,3,1,87,29.0,44.0,0,80,180.0,170.0
457,1022,slumbertime,21.0,3,2,160,53.0,91.0,0,158,25170.0,35511.0
458,1022,slumbertime,7.0,2,1,35,18.0,25.0,0,35,120.0,-1.0
459,1022,slumbertime,31.0,1,1,0,0.0,0.0,0,0,-1.0,-1.0
460,1024,boostme,33.0,3,1,7,2.0,4.0,0,7,1590.0,2079.0
461,1024,boostme,10.0,2,1,3,2.0,2.0,0,3,120.0,-1.0
462,1024,boostme,13.0,1,1,0,0.0,0.0,0,0,-1.0,-1.0
463,1024,boostme,15.0,1,1,51,51.0,0.0,51,51,-1.0,-1.0
464,1024,boostme,18.0,1,1,10,10.0,0.0,10,10,-1.0,-1.0
465,1024,boostme,34.0,1,1,9,9.0,0.0,9,9,-1.0,-1.0
466,1024,boostme,40.0,1,1,4,4.0,0.0,4,4,-1.0,-1.0
467,1024,dailyfeats,25.0,3,2,53,18.0,26.0,0,48,30840.0,41832.0
468,1024,dailyfeats,20.0,2,2,36,18.0,25.0,0,36,59940.0,-1.0
469,1024,dailyfeats,21.0,2,2,66,33.0,18.0,20,46,43380.0,-1.0
470,1024,dailyfeats,22.0,2,1,0,0.0,0.0,0,0,960.0,-1.0
471,1024,dailyfeats,24.0,2,1,24,12.0,17.0,0,24,180.0,-1.0
472,1024,dailyfeats,26.0,2,1,39,20.0,28.0,0,39,420.0,-1.0
473,1024,dailyfeats,27.0,2,1,48,24.0,34.0,0,48,300.0,-1.0
474,1024,dailyfeats,28.0,2,2,22,11.0,16.0,0,22,5580.0,-1.0
475,1024,dailyfeats,40.0,2,1,2,1.0,1.0,0,2,3300.0,-1.0
476,1024,dailyfeats,19.0,1,1,125,125.0,0.0,125,125,-1.0,-1.0
477,1024,dailyfeats,23.0,1,1,32,32.0,0.0,32,32,-1.0,-1.0
478,1024,dailyfeats,29.0,1,1,30,30.0,0.0,30,30,-1.0,-1.0
479,1024,dailyfeats,30.0,1,1,0,0.0,0.0,0,0,-1.0,-1.0
480,1024,dailyfeats,31.0,1,1,0,0.0,0.0,0,0,-1.0,-1.0
481,1024,dailyfeats,32.0,1,1,0,0.0,0.0,0,0,-1.0,-1.0
482,1024,dailyfeats,33.0,1,1,0,0.0,0.0,0,0,-1.0,-1.0
483,1024,dailyfeats,34.0,1,1,0,0.0,0.0,0,0,-1.0,-1.0
484,1024,dailyfeats,35.0,1,1,0,0.0,0.0,0,0,-1.0,-1.0
485,1024,dailyfeats,36.0,1,1,0,0.0,0.0,0,0,-1.0,-1.0
486,1024,dailyfeats,37.0,1,1,0,0.0,0.0,0,0,-1.0,-1.0
487,1024,dailyfeats,38.0,1,1,0,0.0,0.0,0,0,-1.0,-1.0
488,1024,dailyfeats,39.0,1,1,0,0.0,0.0,0,0,-1.0,-1.0
489,1024,dailyfeats,41.0,1,1,0,0.0,0.0,0,0,-1.0,-1.0
490,1024,dailyfeats,42.0,1,1,0,0.0,0.0,0,0,-1.0,-1.0
491,1024,dailyfeats,43.0,1,1,0,0.0,0.0,0,0,-1.0,-1.0
492,1024,dailyfeats,44.0,1,1,0,0.0,0.0,0,0,-1.0,-1.0
493,1024,dailyfeats,45.0,1,1,0,0.0,0.0,0,0,-1.0,-1.0
494,1024,dailyfeats,46.0,1,1,0,0.0,0.0,0,0,-1.0,-1.0
495,1024,dailyfeats,47.0,1,1,0,0.0,0.0,0,0,-1.0,-1.0
496,1024,dailyfeats,48.0,1,1,0,0.0,0.0,0,0,-1.0,-1.0
497,1024,dailyfeats,49.0,1,1,0,0.0,0.0,0,0,-1.0,-1.0
498,1024,icope,31.0,2,2,14,7.0,3.0,5,9,67740.0,-1.0
499,1024,icope,20.0,1,1,88,88.0,0.0,88,88,-1.0,-1.0
500,1024,icope,21.0,1,1,40,40.0,0.0,40,40,-1.0,-1.0
501,1024,icope,23.0,1,1,13,13.0,0.0,13,13,-1.0,-1.0
502,1024,icope,30.0,1,1,9,9.0,0.0,9,9,-1.0,-1.0
503,1024,mantra,41.0,2,1,5,2.0,4.0,0,5,60.0,-1.0
504,1024,mantra,33.0,1,1,45,45.0,0.0,45,45,-1.0,-1.0
505,1024,mantra,35.0,1,1,5,5.0,0.0,5,5,-1.0,-1.0
506,1024,mantra,44.0,1,1,0,0.0,0.0,0,0,-1.0,-1.0
507,1024,messages,40.0,1,1,0,0.0,0.0,0,0,-1.0,-1.0
508,1024,messages,41.0,1,1,15,15.0,0.0,15,15,-1.0,-1.0
509,1024,messages,42.0,1,1,0,0.0,0.0,0,0,-1.0,-1.0
510,1024,messages,43.0,1,1,0,0.0,0.0,0,0,-1.0,-1.0
511,1024,messages,45.0,1,1,0,0.0,0.0,0,0,-1.0,-1.0
512,1024,messages,46.0,1,1,0,0.0,0.0,0,0,-1.0,-1.0
513,1024,messages,47.0,1,1,0,0.0,0.0,0,0,-1.0,-1.0
514,1024,messages,48.0,1,1,0,0.0,0.0,0,0,-1.0,-1.0
515,1024,messages,49.0,1,1,0,0.0,0.0,0,0,-1.0,-1.0
516,1024,moveme,26.0,1,1,39,39.0,0.0,39,39,-1.0,-1.0
517,1024,moveme,27.0,1,1,10,10.0,0.0,10,10,-1.0,-1.0
518,1024,moveme,28.0,1,1,6,6.0,0.0,6,6,-1.0,-1.0
519,1024,relax,31.0,10,2,537,54.0,43.0,12,133,7720.0,22553.0
520,1024,relax,30.0,4,2,151,38.0,43.0,0,78,15040.0,22593.0
521,1024,relax,37.0,2,1,11,6.0,8.0,0,11,120.0,-1.0
522,1024,relax,26.0,1,1,32,32.0,0.0,32,32,-1.0,-1.0
523,1024,relax,27.0,1,1,48,48.0,0.0,48,48,-1.0,-1.0
524,1024,relax,28.0,1,1,138,138.0,0.0,138,138,-1.0,-1.0
525,1024,slumbertime,43.0,3,2,6,2.0,3.0,0,6,8430.0,1230.0
526,1024,slumbertime,35.0,2,1,0,0.0,0.0,0,0,960.0,-1.0
527,1024,slumbertime,33.0,1,1,105,105.0,0.0,105,105,-1.0,-1.0
528,1024,slumbertime,44.0,1,1,0,0.0,0.0,0,0,-1.0,-1.0
529,1024,thoughtchallenger,40.0,1,1,12,12.0,0.0,12,12,-1.0,-1.0
530,1024,worryknot,13.0,1,1,32,32.0,0.0,32,32,-1.0,-1.0
531,1024,worryknot,17.0,1,1,30,30.0,0.0,30,30,-1.0,-1.0
532,1024,worryknot,20.0,1,1,15,15.0,0.0,15,15,-1.0,-1.0
533,1024,worryknot,25.0,1,1,13,13.0,0.0,13,13,-1.0,-1.0
534,1024,worryknot,27.0,1,1,28,28.0,0.0,28,28,-1.0,-1.0
