,pid,dayofstudy,weekofstudy,loyalty,regularity,duration,duration_mean,duration_std,duration_min,duration_max,betweenlaunch_duration_mean,betweenlaunch_duration_std,loyalty_aspire,regularity_aspire,duration_aspire,duration_mean_aspire,duration_std_aspire,duration_min_aspire,duration_max_aspire,betweenlaunch_duration_mean_aspire,betweenlaunch_duration_std_aspire,loyalty_boostme,regularity_boostme,duration_boostme,duration_mean_boostme,duration_std_boostme,duration_min_boostme,duration_max_boostme,betweenlaunch_duration_mean_boostme,betweenlaunch_duration_std_boostme,loyalty_dailyfeats,regularity_dailyfeats,duration_dailyfeats,duration_mean_dailyfeats,duration_std_dailyfeats,duration_min_dailyfeats,duration_max_dailyfeats,betweenlaunch_duration_mean_dailyfeats,betweenlaunch_duration_std_dailyfeats,loyalty_icope,regularity_icope,duration_icope,duration_mean_icope,duration_std_icope,duration_min_icope,duration_max_icope,betweenlaunch_duration_mean_icope,betweenlaunch_duration_std_icope,loyalty_mantra,regularity_mantra,duration_mantra,duration_mean_mantra,duration_std_mantra,duration_min_mantra,duration_max_mantra,betweenlaunch_duration_mean_mantra,betweenlaunch_duration_std_mantra,loyalty_messages,regularity_messages,duration_messages,duration_mean_messages,duration_std_messages,duration_min_messages,duration_max_messages,betweenlaunch_duration_mean_messages,betweenlaunch_duration_std_messages,loyalty_moveme,regularity_moveme,duration_moveme,duration_mean_moveme,duration_std_moveme,duration_min_moveme,duration_max_moveme,betweenlaunch_duration_mean_moveme,betweenlaunch_duration_std_moveme,loyalty_relax,regularity_relax,duration_relax,duration_mean_relax,duration_std_relax,duration_min_relax,duration_max_relax,betweenlaunch_duration_mean_relax,betweenlaunch_duration_std_relax,loyalty_slumbertime,regularity_slumbertime,duration_slumbertime,duration_mean_slumbertime,duration_std_slumbertime,duration_min_slumbertime,duration_max_slumbertime,betweenlaunch_duration_mean_slumbertime,betweenlaunch_duration_std_slumbertime,loyalty_socialforce,regularity_socialforce,duration_socialforce,duration_mean_socialforce,duration_std_socialforce,duration_min_socialforce,duration_max_socialforce,betweenlaunch_duration_mean_socialforce,betweenlaunch_duration_std_socialforce,loyalty_thoughtchallenger,regularity_thoughtchallenger,duration_thoughtchallenger,duration_mean_thoughtchallenger,duration_std_thoughtchallenger,duration_min_thoughtchallenger,duration_max_thoughtchallenger,betweenlaunch_duration_mean_thoughtchallenger,betweenlaunch_duration_std_thoughtchallenger,loyalty_worryknot,regularity_worryknot,duration_worryknot,duration_mean_worryknot,duration_std_worryknot,duration_min_worryknot,duration_max_worryknot,betweenlaunch_duration_mean_worryknot,betweenlaunch_duration_std_worryknot,num_apps_used,most_used_app_0,most_used_app_1,most_used_app_2,anx_mood,dep_mood
10,1000,27.0,4,20,3,337,17.0,33.0,0,132,4089.0,6889.0,1.0,1.0,2.0,2.0,0.0,2.0,2.0,-1.0,-1.0,1.0,1.0,132.0,132.0,0.0,132.0,132.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,1.0,103.0,52.0,33.0,28.0,75.0,600.0,-1.0,7.0,3.0,46.0,7.0,11.0,0.0,25.0,12590.0,15450.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,1.0,26.0,9.0,8.0,0.0,16.0,270.0,42.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,16410.0,11489.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,28.0,28.0,0.0,28.0,28.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7,messages,,,1.0,4.0
11,1000,28.0,4,20,4,290,14.0,42.0,0,186,4276.0,6767.0,2.0,1.0,45.0,22.0,15.0,12.0,33.0,2160.0,-1.0,1.0,1.0,186.0,186.0,0.0,186.0,186.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,27.0,27.0,0.0,27.0,27.0,-1.0,-1.0,6.0,3.0,7.0,1.0,3.0,0.0,7.0,15120.0,16178.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,1.0,25.0,8.0,8.0,0.0,15.0,360.0,255.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,13510.0,9588.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6,slumbertime,,,1.0,4.0
12,1000,28.0,4,20,4,290,14.0,42.0,0,186,4276.0,6767.0,2.0,1.0,45.0,22.0,15.0,12.0,33.0,2160.0,-1.0,1.0,1.0,186.0,186.0,0.0,186.0,186.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,27.0,27.0,0.0,27.0,27.0,-1.0,-1.0,6.0,3.0,7.0,1.0,3.0,0.0,7.0,15120.0,16178.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,1.0,25.0,8.0,8.0,0.0,15.0,360.0,255.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,13510.0,9588.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6,slumbertime,,,1.0,4.0
13,1000,29.0,5,19,3,307,16.0,30.0,0,132,4200.0,10269.0,5.0,1.0,73.0,15.0,13.0,0.0,35.0,495.0,486.0,1.0,1.0,132.0,132.0,0.0,132.0,132.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,26.0,26.0,0.0,26.0,26.0,-1.0,-1.0,7.0,3.0,46.0,7.0,12.0,0.0,32.0,12600.0,15542.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,1.0,23.0,8.0,7.0,0.0,12.0,180.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,7.0,7.0,0.0,7.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7,messages,,,2.0,4.0
14,1000,29.0,5,19,3,307,16.0,30.0,0,132,4200.0,10269.0,5.0,1.0,73.0,15.0,13.0,0.0,35.0,495.0,486.0,1.0,1.0,132.0,132.0,0.0,132.0,132.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,26.0,26.0,0.0,26.0,26.0,-1.0,-1.0,7.0,3.0,46.0,7.0,12.0,0.0,32.0,12600.0,15542.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,1.0,23.0,8.0,7.0,0.0,12.0,180.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,7.0,7.0,0.0,7.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7,messages,,,2.0,4.0
15,1000,29.0,5,19,3,307,16.0,30.0,0,132,4200.0,10269.0,5.0,1.0,73.0,15.0,13.0,0.0,35.0,495.0,486.0,1.0,1.0,132.0,132.0,0.0,132.0,132.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,26.0,26.0,0.0,26.0,26.0,-1.0,-1.0,7.0,3.0,46.0,7.0,12.0,0.0,32.0,12600.0,15542.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,1.0,23.0,8.0,7.0,0.0,12.0,180.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,7.0,7.0,0.0,7.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7,messages,,,2.0,4.0
16,1000,29.0,5,19,3,307,16.0,30.0,0,132,4200.0,10269.0,5.0,1.0,73.0,15.0,13.0,0.0,35.0,495.0,486.0,1.0,1.0,132.0,132.0,0.0,132.0,132.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,26.0,26.0,0.0,26.0,26.0,-1.0,-1.0,7.0,3.0,46.0,7.0,12.0,0.0,32.0,12600.0,15542.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,1.0,23.0,8.0,7.0,0.0,12.0,180.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,7.0,7.0,0.0,7.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7,messages,,,2.0,4.0
17,1000,29.0,5,19,3,307,16.0,30.0,0,132,4200.0,10269.0,5.0,1.0,73.0,15.0,13.0,0.0,35.0,495.0,486.0,1.0,1.0,132.0,132.0,0.0,132.0,132.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,26.0,26.0,0.0,26.0,26.0,-1.0,-1.0,7.0,3.0,46.0,7.0,12.0,0.0,32.0,12600.0,15542.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,1.0,23.0,8.0,7.0,0.0,12.0,180.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,7.0,7.0,0.0,7.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7,messages,,,2.0,4.0
18,1000,30.0,5,20,3,349,17.0,30.0,0,102,3976.0,7443.0,1.0,1.0,24.0,24.0,0.0,24.0,24.0,-1.0,-1.0,2.0,1.0,180.0,90.0,17.0,78.0,102.0,240.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,1.0,25.0,12.0,11.0,5.0,20.0,180.0,-1.0,6.0,3.0,84.0,14.0,28.0,0.0,71.0,15108.0,16104.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,1.0,24.0,8.0,7.0,0.0,14.0,330.0,297.0,5.0,3.0,2.0,0.0,1.0,0.0,2.0,8985.0,2490.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,10.0,10.0,0.0,10.0,10.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7,messages,,,2.0,4.0
19,1000,31.0,5,17,3,136,8.0,14.0,0,45,4725.0,7565.0,1.0,1.0,45.0,45.0,0.0,45.0,45.0,-1.0,-1.0,1.0,1.0,35.0,35.0,0.0,35.0,35.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,-1.0,-1.0,6.0,3.0,8.0,1.0,3.0,0.0,8.0,15120.0,16259.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,1.0,32.0,11.0,9.0,1.0,17.0,150.0,42.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,11220.0,9166.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,15.0,15.0,0.0,15.0,15.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7,messages,,,2.0,4.0
