,pid,package,weekofstudy,afternoon_loyalty,evening_loyalty,latenight_loyalty,morning_loyalty,latenight_regularity,morning_regularity,afternoon_regularity,evening_regularity,latenight_duration,morning_duration,afternoon_duration,evening_duration,latenight_duration_mean,morning_duration_mean,afternoon_duration_mean,evening_duration_mean,latenight_duration_std,morning_duration_std,afternoon_duration_std,evening_duration_std,latenight_duration_min,morning_duration_min,afternoon_duration_min,evening_duration_min,latenight_duration_max,morning_duration_max,afternoon_duration_max,evening_duration_max,latenight_betweenlaunch_duration_mean,morning_betweenlaunch_duration_mean,afternoon_betweenlaunch_duration_mean,evening_betweenlaunch_duration_mean,latenight_betweenlaunch_duration_std,morning_betweenlaunch_duration_std,afternoon_betweenlaunch_duration_std,evening_betweenlaunch_duration_std
10,1000,boostme,7,1.0,5.0,0.0,0.0,0,0,1,5,0.0,0.0,125.0,367.0,0.0,0.0,125.0,73.0,0.0,0.0,0.0,4.0,0.0,0.0,125.0,68.0,0.0,0.0,125.0,78.0,-1.0,-1.0,-1.0,108015.0,-1.0,-1.0,-1.0,34383.0
11,1000,dailyfeats,6,0.0,6.0,1.0,0.0,1,0,0,3,0.0,0.0,0.0,167.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,-1.0,-1.0,-1.0,34572.0,-1.0,-1.0,-1.0,36967.0
12,1000,dailyfeats,7,1.0,13.0,0.0,0.0,0,0,1,7,0.0,0.0,0.0,133.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,-1.0,-1.0,-1.0,43200.0,-1.0,-1.0,-1.0,38685.0
13,1000,icope,5,3.0,0.0,0.0,0.0,0,0,2,0,0.0,0.0,271.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,189.0,0.0,-1.0,-1.0,90570.0,-1.0,-1.0,-1.0,107721.0,-1.0
14,1000,icope,6,1.0,7.0,0.0,0.0,0,0,1,7,0.0,0.0,0.0,216.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,-1.0,-1.0,-1.0,86210.0,-1.0,-1.0,-1.0,1290.0
15,1000,icope,7,1.0,4.0,0.0,0.0,0,0,1,4,0.0,0.0,4.0,19.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,4.0,5.0,-1.0,-1.0,-1.0,144020.0,-1.0,-1.0,-1.0,98768.0
16,1000,mantra,2,0.0,1.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
17,1000,mantra,3,4.0,7.0,0.0,1.0,0,1,4,4,0.0,64.0,86.0,261.0,0.0,64.0,22.0,37.0,0.0,0.0,15.0,16.0,0.0,64.0,0.0,15.0,0.0,64.0,31.0,59.0,-1.0,-1.0,195920.0,57820.0,-1.0,-1.0,95454.0,69347.0
18,1000,mantra,4,3.0,4.0,0.0,0.0,0,0,3,3,0.0,0.0,64.0,179.0,0.0,0.0,21.0,45.0,0.0,0.0,9.0,21.0,0.0,0.0,11.0,28.0,0.0,0.0,27.0,75.0,-1.0,-1.0,129060.0,114720.0,-1.0,-1.0,68476.0,98837.0
19,1000,mantra,5,8.0,1.0,0.0,0.0,0,0,6,1,0.0,0.0,139.0,26.0,0.0,0.0,17.0,26.0,0.0,0.0,13.0,0.0,0.0,0.0,1.0,26.0,0.0,0.0,38.0,26.0,-1.0,-1.0,58971.0,-1.0,-1.0,-1.0,40277.0,-1.0
20,1000,mantra,6,5.0,7.0,0.0,0.0,0,0,4,5,0.0,0.0,121.0,194.0,0.0,0.0,24.0,28.0,0.0,0.0,2.0,21.0,0.0,0.0,21.0,15.0,0.0,0.0,27.0,74.0,-1.0,-1.0,109920.0,71930.0,-1.0,-1.0,79296.0,64696.0
