,pid,weekofstudy,afternoon_loyalty,evening_loyalty,latenight_loyalty,morning_loyalty,latenight_regularity,morning_regularity,afternoon_regularity,evening_regularity,latenight_duration,morning_duration,afternoon_duration,evening_duration,latenight_duration_mean,morning_duration_mean,afternoon_duration_mean,evening_duration_mean,latenight_duration_std,morning_duration_std,afternoon_duration_std,evening_duration_std,latenight_duration_min,morning_duration_min,afternoon_duration_min,evening_duration_min,latenight_duration_max,morning_duration_max,afternoon_duration_max,evening_duration_max,latenight_betweenlaunch_duration_mean,morning_betweenlaunch_duration_mean,afternoon_betweenlaunch_duration_mean,evening_betweenlaunch_duration_mean,latenight_betweenlaunch_duration_std,morning_betweenlaunch_duration_std,afternoon_betweenlaunch_duration_std,evening_betweenlaunch_duration_std
13,1014,1,14.0,12.0,2.0,0.0,1,0,5,6,193.0,0.0,673.0,783.0,96.0,0.0,48.0,65.0,118.0,0.0,61.0,68.0,13.0,0.0,0.0,0.0,180.0,0.0,185.0,177.0,1140.0,-1.0,37.0,-5.0,-1.0,-1.0,75294.0,56820.0
14,1014,2,17.0,10.0,21.0,5.0,5,1,6,4,829.0,298.0,648.0,302.0,39.0,60.0,38.0,30.0,41.0,40.0,50.0,43.0,0.0,0.0,0.0,0.0,127.0,101.0,170.0,133.0,22095.0,-15.0,-6068.0,30127.0,46307.0,150.0,51589.0,97313.0
15,1014,3,11.0,16.0,41.0,2.0,7,1,4,6,1377.0,23.0,522.0,627.0,34.0,12.0,47.0,39.0,41.0,16.0,57.0,41.0,0.0,0.0,0.0,0.0,147.0,23.0,162.0,133.0,11122.0,-60.0,51816.0,888.0,30604.0,-1.0,107671.0,40164.0
16,1014,4,24.0,36.0,27.0,2.0,5,2,7,6,1140.0,80.0,903.0,1198.0,42.0,40.0,38.0,33.0,47.0,3.0,31.0,50.0,0.0,38.0,0.0,0.0,166.0,42.0,90.0,185.0,6951.0,172980.0,-1.0,17.0,40491.0,-1.0,37222.0,38991.0
17,1014,5,20.0,25.0,27.0,6.0,7,1,7,7,404.0,477.0,681.0,505.0,15.0,80.0,34.0,20.0,33.0,67.0,52.0,43.0,0.0,0.0,0.0,0.0,135.0,142.0,138.0,145.0,6870.0,204.0,22020.0,7538.0,36487.0,214.0,34445.0,32949.0
18,1014,6,14.0,19.0,20.0,0.0,6,0,4,6,793.0,0.0,672.0,859.0,40.0,0.0,48.0,45.0,53.0,0.0,57.0,52.0,0.0,0.0,0.0,0.0,164.0,0.0,185.0,169.0,4740.0,-1.0,28.0,23843.0,48684.0,-1.0,96591.0,37035.0
19,1014,7,10.0,4.0,15.0,0.0,4,0,1,2,516.0,0.0,403.0,114.0,34.0,0.0,40.0,28.0,37.0,0.0,52.0,41.0,0.0,0.0,3.0,0.0,102.0,0.0,136.0,89.0,150.0,-1.0,-13.0,142420.0,64419.0,-1.0,278.0,246367.0
20,1022,1,2.0,0.0,0.0,0.0,0,0,1,0,0.0,0.0,35.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,-1.0,-1.0,120.0,-1.0,-1.0,-1.0,-1.0,-1.0
21,1022,2,3.0,4.0,0.0,0.0,0,0,1,4,0.0,0.0,87.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,-1.0,-1.0,180.0,174120.0,-1.0,-1.0,170.0,151676.0
22,1022,3,4.0,1.0,9.0,0.0,3,0,1,1,81.0,0.0,158.0,0.0,9.0,0.0,40.0,0.0,26.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,158.0,0.0,21135.0,-1.0,1260.0,-1.0,38890.0,-1.0,3541.0,-1.0
