,bl_group,subgroup,package,time_window,loyalty,loyalty_mean,loyalty_std,regularity,regularity_mean,regularity_std,duration,duration_mean,duration_std
169,depression,low,thoughtchallenger,Late Night (12am-6am),46,23,31,19,2,6,17,8,11
170,depression,low,thoughtchallenger,Evening (6pm-12am),42,14,12,25,2,5,14,5,5
171,depression,low,thoughtchallenger,Morning (6am-12pm),1,1,0,1,0,0,0,0,0
172,depression,low,worryknot,Afternoon (12pm-6pm),12,3,1,10,1,1,9,2,2
173,depression,low,worryknot,Late Night (12am-6am),24,8,7,9,1,2,13,4,5
174,depression,low,worryknot,Evening (6pm-12am),22,4,3,18,2,3,17,3,3
175,depression,low,worryknot,Morning (6am-12pm),5,2,1,3,0,0,2,1,1
176,anxiety,high,moveme,Afternoon (12pm-6pm),,,,0,0,0,0,0,0
177,anxiety,high,socialforce,Morning (6am-12pm),,,,0,0,0,0,0,0
178,anxiety,low,moveme,Late Night (12am-6am),,,,0,0,0,0,0,0
179,anxiety,low,moveme,Morning (6am-12pm),,,,0,0,0,0,0,0
180,anxiety,low,socialforce,Late Night (12am-6am),,,,0,0,0,0,0,0
181,anxiety,low,socialforce,Afternoon (12pm-6pm),,,,0,0,0,0,0,0
182,anxiety,low,socialforce,Evening (6pm-12am),,,,0,0,0,0,0,0
183,anxiety,low,thoughtchallenger,Late Night (12am-6am),,,,0,0,0,0,0,0
184,depression,high,boostme,Late Night (12am-6am),,,,0,0,0,0,0,0
185,depression,high,boostme,Morning (6am-12pm),,,,0,0,0,0,0,0
186,depression,high,moveme,Afternoon (12pm-6pm),,,,0,0,0,0,0,0
187,depression,high,socialforce,Late Night (12am-6am),,,,0,0,0,0,0,0
188,depression,high,socialforce,Morning (6am-12pm),,,,0,0,0,0,0,0
189,depression,high,socialforce,Afternoon (12pm-6pm),,,,0,0,0,0,0,0
190,depression,high,socialforce,Evening (6pm-12am),,,,0,0,0,0,0,0
191,depression,low,moveme,Morning (6am-12pm),,,,0,0,0,0,0,0
